#X Y Z pseudosize
0.09384715 -0.06515749 0.059902593 2.4751751
0.25347552 -0.25354546 0.03229528 1.6105729
0.06291678 -0.09107229 0.031675793 0.07499049
-0.06227524 0.046819203 -0.0022448879 0.29917273
0.04521894 -0.049686197 0.023949206 0.33346877
-0.03558921 0.04495105 0.00957548 0.18935741
-0.20397195 0.14662862 -0.039671786 0.405891
0.17073016 -0.24065745 -0.004382869 0.12881206
-0.020222645 0.029377155 -0.031954646 3.095054
-0.05247434 0.055492792 0.0334245 1.883618
0.14592074 -0.15095355 -0.0153266825 1.5159719
-0.24971913 0.14054869 -0.01685846 2.9292767
0.285352 -0.27268136 0.055114545 2.0733979
0.057184033 -0.09588596 -0.045140013 1.0743341
0.029668592 -0.0053281067 -0.0010150968 1.0462396
0.08385028 -0.121230066 -0.04889435 0.73631287
0.20426124 -0.11068788 -0.04003193 1.5053447
0.23047931 -0.19362433 0.012368768 0.77923685
-0.12178402 0.07750204 -0.025962673 1.0985328
-0.13397872 0.119143285 0.077027634 0.5071594
0.0040279785 -0.0057699806 0.002919043 1.8672937
-0.12625688 0.09553758 -0.011708623 0.5148332
0.3912233 -0.3737104 0.03988212 1.8825864
-0.11101722 0.09248931 -0.012920474 1.6489317
0.054489717 -0.07963094 -0.0054825814 0.236985
0.059257295 -0.018914817 0.0051545785 0.9583601
-0.11011268 0.1024472 -0.07328254 0.045197904
0.012809053 -0.16275191 0.045513723 1.4096597
0.13181497 -0.0872832 -0.011378126 0.038795978
-0.19710056 0.21329503 0.053422987 0.35871994
-0.11044693 0.16069385 -0.10148148 0.89757484
-0.26395738 0.19303584 -0.020263359 1.3052953
-0.08361409 0.112444445 0.0565699 2.2547796
-0.04187846 -0.03005417 0.036342666 0.66740716
0.08034672 -0.025257995 -0.0439744 0.28646228
0.16679132 -0.21721016 0.012914872 1.39395
-0.118517935 0.034106303 -0.0180299 0.4187355
0.007745839 -0.017728753 -0.015506495 0.17995791
-0.11663449 0.13105722 0.048073184 0.63560593
-0.16992122 0.122429416 0.08173545 0.9234005
-0.12242823 0.16277152 -0.023890378 0.4121968
-0.09790059 0.08478216 -0.058998466 2.0969503
0.14781293 -0.13651656 -0.040192567 1.1108855
-0.111582756 0.059581906 -0.033338893 6.3487473
-0.2127935 0.25280613 0.04730832 1.3804743
-0.024865944 -0.031275492 -7.5689534E-4 0.7121888
-0.24348369 0.27321914 0.0022308212 2.035666
0.04932884 -0.049559817 0.034264397 0.7327151
-0.32226384 0.34388515 -0.051098634 1.8965954
0.25243795 -0.26947072 0.001758606 0.6514383
0.0047152434 -0.06468263 0.06924371 1.0496864
0.27976218 -0.2319665 -0.02681187 2.323943
-0.08795631 0.07979345 0.039388135 0.83313704
0.052991174 -0.0649461 0.034914263 0.9462115
0.24671426 -0.19947317 -0.017585136 0.34890813
-0.097996406 0.1324097 -0.1063873 0.015429698
-0.3161281 0.2793916 0.011235897 1.2277964
-0.007908309 -0.043591946 -0.059118133 2.865416
0.27306026 -0.26334104 0.057553418 0.26214045
0.043898698 -0.02010139 0.00768072 0.11087404
0.020303624 -0.018683948 0.024496121 0.5474899
-0.0048769154 0.07385808 -0.017116476 1.7019447
-0.30863598 0.23160097 0.03818589 0.71770155
-0.017287238 0.028060026 0.036078155 0.045691144
-0.11909994 0.14587477 0.007334844 3.2500162
-0.16502038 0.12713106 0.009583224 0.6278739
-0.14874884 0.1253239 -0.025382476 3.5885468
0.008651393 0.05541111 0.024829132 1.5112481
0.14134169 -0.10080542 0.010413112 1.3575672
0.007166298 -0.0030573956 -0.032511603 0.75369245
0.13225183 -0.122783944 0.0070822267 2.1966817
-0.1875501 0.26980186 0.0045514856 0.45984918
-0.04356629 0.046573795 -0.0348132 0.48968822
-0.16958585 0.1944949 0.032858822 1.0188595
0.14158927 -0.15382855 -0.0033207985 1.0659711
-0.083952226 0.052396484 0.0040052454 2.288813
0.0026901811 0.020181846 -0.026123658 0.35903078
0.1710253 -0.15645064 -0.044693872 2.0252333
-0.019786527 0.02486282 -0.034224622 2.2020159
0.19440712 -0.20041963 -0.015585979 0.0880703
-0.097777 0.045847125 -0.02536715 2.1073809
0.01788917 -0.011118368 -0.017926823 3.4891357
-0.07886202 0.112424254 -0.021245807 0.685162
-0.011671824 -0.008564719 -0.06557141 1.4508986
-0.111205444 0.16110258 -0.026169293 2.3597708
0.07406109 -0.056016423 0.019237071 0.051841944
0.04810679 -0.06309061 0.016738417 1.4807407
-0.013510928 -0.006561516 0.0033100625 0.09548161
3.9209006E-4 -0.008262287 -0.018869061 0.40484583
-0.19940577 0.17357601 -0.02859852 0.7100823
-0.004990617 0.020039223 0.0010549716 0.34544545
-0.0067877695 -3.3851922E-4 0.0047785426 0.55537677
0.077538624 -0.03692979 -0.013012477 1.384107
-0.18525133 0.11336562 0.032966804 0.31574506
0.043067254 -0.078236595 -0.026476266 0.8772277
0.113282815 -0.08675847 0.02108123 0.013823421
0.17951715 -0.10878788 0.041639756 1.0888104
0.08491932 -0.02525253 0.008232277 0.36147428
-0.0010822061 -0.024566758 -0.05198554 1.5689163
-0.025249228 0.07406283 0.012699557 0.16638292
0.06765136 -0.02498808 -0.035146758 0.38209978
0.0676525 -0.10316884 -0.041302305 0.36627686
0.18312357 -0.14971624 0.010867971 0.43343103
0.17915988 -0.19492258 0.009456699 1.7922889
0.16746956 -0.16592915 -0.08283614 3.9585054
0.07213052 -0.024872722 0.013706708 0.59517246
-0.16980717 0.094127774 0.009550905 0.95250154
0.053585522 -0.060248367 0.02799556 0.6404203
-0.27601317 0.281093 0.09193087 0.85277337
-0.2282314 0.2162194 -0.077143185 0.12106918
0.15119785 -0.10184437 -0.06817507 1.4080658
0.0286444 -0.06712069 0.005457364 2.1989863
0.07509766 -0.027852673 -0.013696372 0.77697814
0.008876059 0.09575092 0.018404724 0.12528421
-0.15014213 0.18247962 0.017555824 0.0154447965
-0.28274882 0.22701976 -0.002861902 2.40504
0.08900257 0.018720742 -0.10641839 0.65697575
-0.026989605 0.0025403323 0.01553358 2.1697426
0.23521304 -0.2656422 0.05444924 0.35349908
0.0515248 -0.084233694 0.070267715 0.6558447
0.27065167 -0.32240522 0.03534155 0.8155259
0.22519833 -0.19907764 0.007990131 0.35887465
